run_id,year,adoption_share
1,1,0.1115750620421857
1,2,0.23701132260335367
1,3,0.3701398539057179
1,4,0.5022959446045846
1,5,0.6241812900182875
1,6,0.7283756060144835
1,7,0.8111943273750531
1,8,0.8729117874808942
1,9,0.9165366780639614
1,10,0.9461531065077221
1,11,0.965683615563385
1,12,0.9783082115310251
1,13,0.9863610521887891
1,14,0.9914535151453433
1,15,0.9946561238232703
2,1,0.16653808555845392
2,2,0.33291357260742727
2,3,0.4881240264142341
2,4,0.6230037145178926
2,5,0.7324433558945558
2,6,0.8159298991378393
2,7,0.8764185015761986
2,8,0.9185144221911395
2,9,0.946952477302665
2,10,0.9657654620172932
2,11,0.9780344719786485
2,12,0.9859600346323709
2,13,0.9910480138757826
2,14,0.994301194920742
2,15,0.9963758420301424
3,1,0.1393731973387133
3,2,0.27863498005456866
3,3,0.4115375404420235
3,4,0.5325471378217781
3,5,0.6377807147852597
3,6,0.7254614856397279
3,7,0.7957936839635701
3,8,0.8504204855468179
3,9,0.8917498479235861
3,10,0.9223801240218585
3,11,0.9447261261185638
3,12,0.960837810722666
3,13,0.9723547240545923
3,14,0.9805359803477074
3,15,0.9863217413477577
4,1,0.18939926082971717
4,2,0.3757150060798571
4,3,0.5440472980837449
4,4,0.6833821612291167
4,5,0.7895593646658301
4,6,0.8649022137794723
4,7,0.9154443355058629
4,8,0.9479905973760783
4,9,0.9683710101072924
4,10,0.9809028198525118
4,11,0.9885204782076896
4,12,0.9931182110751646
4,13,0.9958812355183807
4,14,0.9975373416542509
4,15,0.9985284182628787
5,1,0.05180135685099459
5,2,0.11815155322153835
5,3,0.20038643616228188
5,4,0.2980221188664549
5,5,0.40778157661376063
5,6,0.5231840418053626
5,7,0.635403499372655
5,8,0.7355661946983965
5,9,0.8175043009698332
5,10,0.8792989983688154
5,11,0.9227862049974155
5,12,0.9517834948495828
5,13,0.9703815010841705
5,14,0.9819991638515337
5,15,0.9891332432055333
6,1,0.16775962656343127
6,2,0.3268287799574401
6,3,0.4704140852170493
6,4,0.5939678956248354
6,5,0.6956860407893941
6,6,0.7762348837092795
6,7,0.8379745550038893
6,8,0.884073236340627
6,9,0.9178007402694495
6,10,0.9421019073627568
6,11,0.9594147799097231
6,12,0.9716486021718596
6,13,0.9802430434984349
6,14,0.9862558246350553
6,15,0.9904502058591587
7,1,0.12100539942337987
7,2,0.2574187614767387
7,3,0.4012810472026984
7,4,0.54160727770216
7,5,0.6672175099093274
7,6,0.7702174362782268
7,7,0.8480244192938171
7,8,0.9028258699060111
7,9,0.9393707852439497
7,10,0.9627980019369174
7,11,0.9774191399851315
7,12,0.9863871528771512
7,13,0.9918280005307936
7,14,0.9951067860609695
7,15,0.9970745836598808
8,1,0.04405112002594381
8,2,0.10033817218966859
8,3,0.1703585930366804
8,4,0.2544858158483359
8,5,0.35119624643257435
8,6,0.4564844102284314
8,7,0.5639512704554601
8,8,0.6659447639404755
8,9,0.755551653686303
8,10,0.8284964269823479
8,11,0.8838856233421631
8,12,0.9235513370290127
8,13,0.9506877334363159
8,14,0.9686422182777729
8,15,0.9802490525946933
9,1,0.03995334088603306
9,2,0.09053525554649625
9,3,0.15311368396876135
9,4,0.22827691645858755
9,5,0.315256158182885
9,6,0.41141414173014873
9,7,0.5121069360121621
9,8,0.6112310753160917
9,9,0.7024983781539758
9,10,0.7809935015539597
9,11,0.8442568184311751
9,12,0.8923857871131167
9,13,0.9272922901539495
9,14,0.9516851553969602
9,15,0.9682700196129871
10,1,0.041878090874821076
10,2,0.09150329107981098
10,3,0.1492335383268488
10,4,0.21492507180817666
10,5,0.28775598522293727
10,6,0.3661133203399206
10,7,0.4476112860879743
10,8,0.5292909392478189
10,9,0.6079967296028075
10,10,0.6808479177805531
10,11,0.7456656223511744
10,12,0.801222782245275
10,13,0.8472589055228978
10,14,0.8842982078197967
10,15,0.913370329920839
11,1,0.10083588879692128
11,2,0.2242307602104427
11,3,0.3652443327874503
11,4,0.5129340749605064
11,5,0.6522255783951029
11,6,0.7691676621924322
11,7,0.856530544582706
11,8,0.9153534311187955
11,9,0.9518560055155426
11,10,0.9732517182541641
11,11,0.9853455171292513
11,12,0.9920352733459021
11,13,0.9956903951024659
11,14,0.9976738173765755
11,15,0.9987460686851141
12,1,0.05574831205880772
12,2,0.12441133497059548
12,3,0.20638076841911462
12,4,0.30047706909265964
12,5,0.403451662180994
12,6,0.509965413231981
12,7,0.6133482581266734
12,8,0.7070873169189181
12,9,0.7864578826517259
12,10,0.8494802900558404
12,11,0.8967903397868185
12,12,0.9307165378441951
12,13,0.9542062534834541
12,14,0.9700594804128538
12,15,0.9805689909892803
13,1,0.06164491474984742
13,2,0.1322861824716717
13,3,0.21116944189335582
13,4,0.29664702875518495
13,5,0.3861622413341411
13,6,0.47644049186992454
13,7,0.563897560650412
13,8,0.6451829143119924
13,9,0.7176977603157116
13,10,0.7799211914836114
13,11,0.831459096701511
13,12,0.8728494642200594
13,13,0.9052394024239186
13,14,0.9300574161780631
13,15,0.9487595384485527
14,1,0.12956333037044884
14,2,0.2681345759531646
14,3,0.4078416565582204
14,4,0.5398017311021439
14,5,0.6562448592069929
14,6,0.7523798851431356
14,7,0.8270743934463185
14,8,0.8821916497972904
14,9,0.9212263251636186
14,10,0.948030532601442
14,11,0.9660327207516011
14,12,0.9779388236813921
14,13,0.9857317140710322
14,14,0.9907972756299785
14,15,0.9940751115620097
15,1,0.04772997730308143
15,2,0.10630640502813388
15,3,0.17639598311251495
15,4,0.2576575458097619
15,5,0.3483204110958801
15,6,0.4449713080327722
15,7,0.5427780332647216
15,8,0.6362624352318876
15,9,0.7204517360233362
15,10,0.7919508277661089
15,11,0.8494582213618124
15,12,0.8935697109609887
15,13,0.9261113917461723
15,14,0.9493975722035899
15,15,0.9656853093066192
16,1,0.023288790917784886
16,2,0.05137341209963735
16,3,0.08490286135683967
16,4,0.12444791142010375
16,5,0.17040966448013195
16,6,0.22290700070497796
16,7,0.2816562160109135
16,8,0.3458680380959149
16,9,0.4141974382557644
16,10,0.48478305844968184
16,11,0.5553982374827615
16,12,0.6237029827206518
16,13,0.6875460075960429
16,14,0.7452388023189654
16,15,0.7957283046716805
17,1,0.09465128824839315
17,2,0.18904416385237427
17,3,0.2813675668609945
17,4,0.3699166451209468
17,5,0.4532195660582594
17,6,0.5301336446983685
17,7,0.5998977044522695
17,8,0.6621374643666418
17,9,0.716830278008801
17,10,0.7642419284458435
17,11,0.8048502382852426
17,12,0.8392685465361237
17,13,0.8681782239586165
17,14,0.8922750413537747
